2020-12-20 05:57:01:254  磁钢信号预处理完成，位置标记：1
2020-12-20 05:57:01:264  温度分轮成功，分轮数尺度为：48
2020-12-20 05:57:01:271  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-20 05:57:01:275  电机温度计算完成, 位置标记：1
2020-12-20 05:57:01:278  电机温度计算完成, 位置标记：1
2020-12-20 05:57:01:280  电机温度计算完成, 位置标记：1
2020-12-20 05:57:01:283  电机温度计算完成, 位置标记：1
2020-12-20 05:57:01:285  电机温度计算完成, 位置标记：1
2020-12-20 05:57:01:288  电机温度计算完成, 位置标记：1
2020-12-20 05:57:01:291  电机温度计算完成, 位置标记：1
2020-12-20 05:57:01:293  电机温度计算完成, 位置标记：1
2020-12-20 05:57:01:294  车速为：116.456位置标记为：1
2020-12-20 05:57:01:311  振动分轮计算完成, 位置标记：1
2020-12-20 05:57:01:538  振动特征值计算完成, 位置标记：1
2020-12-20 05:57:01:575  磁钢信号预处理完成，位置标记：0
2020-12-20 05:57:01:585  温度分轮成功，分轮数尺度为：48
2020-12-20 05:57:01:592  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-20 05:57:01:596  电机温度计算完成, 位置标记：0
2020-12-20 05:57:01:599  电机温度计算完成, 位置标记：0
2020-12-20 05:57:01:601  电机温度计算完成, 位置标记：0
2020-12-20 05:57:01:604  电机温度计算完成, 位置标记：0
2020-12-20 05:57:01:606  电机温度计算完成, 位置标记：0
2020-12-20 05:57:01:609  电机温度计算完成, 位置标记：0
2020-12-20 05:57:01:612  电机温度计算完成, 位置标记：0
2020-12-20 05:57:01:614  电机温度计算完成, 位置标记：0
2020-12-20 05:57:01:615  车速为：116.456位置标记为：0
2020-12-20 05:57:01:632  振动分轮计算完成, 位置标记：0
2020-12-20 05:57:01:858  振动特征值计算完成, 位置标记：0
