2020-12-12 23:04:12:225  磁钢信号预处理完成，位置标记：1
2020-12-12 23:04:12:240  温度分轮成功，分轮数尺度为：48
2020-12-12 23:04:12:303  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-12 23:04:12:365  电机温度计算完成, 位置标记：1
2020-12-12 23:04:12:381  电机温度计算完成, 位置标记：1
2020-12-12 23:04:12:381  电机温度计算完成, 位置标记：1
2020-12-12 23:04:12:381  电机温度计算完成, 位置标记：1
2020-12-12 23:04:12:381  电机温度计算完成, 位置标记：1
2020-12-12 23:04:12:381  电机温度计算完成, 位置标记：1
2020-12-12 23:04:12:396  电机温度计算完成, 位置标记：1
2020-12-12 23:04:12:396  电机温度计算完成, 位置标记：1
2020-12-12 23:04:12:396  车速为：36.7021位置标记为：1
2020-12-12 23:04:12:412  振动分轮计算完成, 位置标记：1
2020-12-12 23:04:12:709  振动特征值计算完成, 位置标记：1
2020-12-12 23:04:12:756  磁钢信号预处理完成，位置标记：0
2020-12-12 23:04:12:771  温度分轮成功，分轮数尺度为：48
2020-12-12 23:04:12:834  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-12 23:04:12:896  电机温度计算完成, 位置标记：0
2020-12-12 23:04:12:896  电机温度计算完成, 位置标记：0
2020-12-12 23:04:12:912  电机温度计算完成, 位置标记：0
2020-12-12 23:04:12:912  电机温度计算完成, 位置标记：0
2020-12-12 23:04:12:912  电机温度计算完成, 位置标记：0
2020-12-12 23:04:12:912  电机温度计算完成, 位置标记：0
2020-12-12 23:04:12:912  电机温度计算完成, 位置标记：0
2020-12-12 23:04:12:912  电机温度计算完成, 位置标记：0
2020-12-12 23:04:12:928  车速为：36.7021位置标记为：0
2020-12-12 23:04:12:943  振动分轮计算完成, 位置标记：0
2020-12-12 23:04:13:225  振动特征值计算完成, 位置标记：0
