2020-12-13 23:04:15:205  磁钢信号预处理完成，位置标记：1
2020-12-13 23:04:15:220  温度分轮成功，分轮数尺度为：48
2020-12-13 23:04:15:283  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-13 23:04:15:361  电机温度计算完成, 位置标记：1
2020-12-13 23:04:15:361  电机温度计算完成, 位置标记：1
2020-12-13 23:04:15:361  电机温度计算完成, 位置标记：1
2020-12-13 23:04:15:361  电机温度计算完成, 位置标记：1
2020-12-13 23:04:15:361  电机温度计算完成, 位置标记：1
2020-12-13 23:04:15:361  电机温度计算完成, 位置标记：1
2020-12-13 23:04:15:377  电机温度计算完成, 位置标记：1
2020-12-13 23:04:15:377  电机温度计算完成, 位置标记：1
2020-12-13 23:04:15:377  车速为：36.5563位置标记为：1
2020-12-13 23:04:15:392  振动分轮计算完成, 位置标记：1
2020-12-13 23:04:15:689  振动特征值计算完成, 位置标记：1
2020-12-13 23:04:15:736  磁钢信号预处理完成，位置标记：0
2020-12-13 23:04:15:752  温度分轮成功，分轮数尺度为：48
2020-12-13 23:04:15:814  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-13 23:04:15:877  电机温度计算完成, 位置标记：0
2020-12-13 23:04:15:877  电机温度计算完成, 位置标记：0
2020-12-13 23:04:15:877  电机温度计算完成, 位置标记：0
2020-12-13 23:04:15:892  电机温度计算完成, 位置标记：0
2020-12-13 23:04:15:892  电机温度计算完成, 位置标记：0
2020-12-13 23:04:15:892  电机温度计算完成, 位置标记：0
2020-12-13 23:04:15:892  电机温度计算完成, 位置标记：0
2020-12-13 23:04:15:892  电机温度计算完成, 位置标记：0
2020-12-13 23:04:15:892  车速为：36.5563位置标记为：0
2020-12-13 23:04:15:923  振动分轮计算完成, 位置标记：0
2020-12-13 23:04:16:189  振动特征值计算完成, 位置标记：0
