2020-12-30 23:04:21:571  磁钢信号预处理完成，位置标记：1
2020-12-30 23:04:21:584  温度分轮成功，分轮数尺度为：48
2020-12-30 23:04:21:653  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-30 23:04:21:719  电机温度计算完成, 位置标记：1
2020-12-30 23:04:21:722  电机温度计算完成, 位置标记：1
2020-12-30 23:04:21:725  电机温度计算完成, 位置标记：1
2020-12-30 23:04:21:729  电机温度计算完成, 位置标记：1
2020-12-30 23:04:21:732  电机温度计算完成, 位置标记：1
2020-12-30 23:04:21:735  电机温度计算完成, 位置标记：1
2020-12-30 23:04:21:737  电机温度计算完成, 位置标记：1
2020-12-30 23:04:21:740  电机温度计算完成, 位置标记：1
2020-12-30 23:04:21:742  车速为：36.7184位置标记为：1
2020-12-30 23:04:21:767  振动分轮计算完成, 位置标记：1
2020-12-30 23:04:22:054  振动特征值计算完成, 位置标记：1
2020-12-30 23:04:22:109  磁钢信号预处理完成，位置标记：0
2020-12-30 23:04:22:122  温度分轮成功，分轮数尺度为：48
2020-12-30 23:04:22:191  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-30 23:04:22:253  电机温度计算完成, 位置标记：0
2020-12-30 23:04:22:256  电机温度计算完成, 位置标记：0
2020-12-30 23:04:22:259  电机温度计算完成, 位置标记：0
2020-12-30 23:04:22:262  电机温度计算完成, 位置标记：0
2020-12-30 23:04:22:265  电机温度计算完成, 位置标记：0
2020-12-30 23:04:22:267  电机温度计算完成, 位置标记：0
2020-12-30 23:04:22:270  电机温度计算完成, 位置标记：0
2020-12-30 23:04:22:272  电机温度计算完成, 位置标记：0
2020-12-30 23:04:22:274  车速为：36.7184位置标记为：0
2020-12-30 23:04:22:297  振动分轮计算完成, 位置标记：0
2020-12-30 23:04:22:542  振动特征值计算完成, 位置标记：0
