2020-12-19 05:51:34:021  磁钢信号预处理完成，位置标记：1
2020-12-19 05:51:34:031  温度分轮成功，分轮数尺度为：48
2020-12-19 05:51:34:042  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-19 05:51:34:049  电机温度计算完成, 位置标记：1
2020-12-19 05:51:34:052  电机温度计算完成, 位置标记：1
2020-12-19 05:51:34:055  电机温度计算完成, 位置标记：1
2020-12-19 05:51:34:058  电机温度计算完成, 位置标记：1
2020-12-19 05:51:34:061  电机温度计算完成, 位置标记：1
2020-12-19 05:51:34:064  电机温度计算完成, 位置标记：1
2020-12-19 05:51:34:067  电机温度计算完成, 位置标记：1
2020-12-19 05:51:34:073  电机温度计算完成, 位置标记：1
2020-12-19 05:51:34:073  车速为：91.8979位置标记为：1
2020-12-19 05:51:34:092  振动分轮计算完成, 位置标记：1
2020-12-19 05:51:34:383  振动特征值计算完成, 位置标记：1
2020-12-19 05:51:34:426  磁钢信号预处理完成，位置标记：0
2020-12-19 05:51:34:436  温度分轮成功，分轮数尺度为：48
2020-12-19 05:51:34:447  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-19 05:51:34:454  电机温度计算完成, 位置标记：0
2020-12-19 05:51:34:457  电机温度计算完成, 位置标记：0
2020-12-19 05:51:34:461  电机温度计算完成, 位置标记：0
2020-12-19 05:51:34:464  电机温度计算完成, 位置标记：0
2020-12-19 05:51:34:467  电机温度计算完成, 位置标记：0
2020-12-19 05:51:34:470  电机温度计算完成, 位置标记：0
2020-12-19 05:51:34:473  电机温度计算完成, 位置标记：0
2020-12-19 05:51:34:476  电机温度计算完成, 位置标记：0
2020-12-19 05:51:34:477  车速为：91.8979位置标记为：0
2020-12-19 05:51:34:497  振动分轮计算完成, 位置标记：0
2020-12-19 05:51:34:784  振动特征值计算完成, 位置标记：0
