2022-07-17 13:00:09:201  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-17 13:00:09:204  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-17 13:00:09:213  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-17 13:00:09:224  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-17 13:00:09:226  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-17 13:00:09:231  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-17 13:00:09:237  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-17 13:00:09:239  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-17 13:00:09:241  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-17 13:00:09:244  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-17 13:00:09:246  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-17 13:00:09:246  车速为：72.0627位置标记为：1
2022-07-17 13:00:09:253  vibrationCalculate:计算完成, 位置标记：1
2022-07-17 13:00:09:376  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-17 13:00:09:417  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-17 13:00:09:421  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-17 13:00:09:436  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-17 13:00:09:445  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-17 13:00:09:446  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-17 13:00:09:448  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-17 13:00:09:449  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-17 13:00:09:451  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-17 13:00:09:453  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-17 13:00:09:454  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-17 13:00:09:456  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-17 13:00:09:457  车速为：72.0627位置标记为：0
2022-07-17 13:00:09:463  vibrationCalculate:计算完成, 位置标记：0
2022-07-17 13:00:09:589  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-17 13:11:07:704  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-17 13:11:07:708  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-17 13:11:07:716  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-17 13:11:07:725  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-17 13:11:07:728  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-17 13:11:07:730  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-17 13:11:07:731  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-17 13:11:07:734  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-17 13:11:07:736  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-17 13:11:07:738  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
