2020-12-24 22:13:57:172  磁钢信号预处理完成，位置标记：1
2020-12-24 22:13:57:190  温度分轮成功，分轮数尺度为：48
2020-12-24 22:13:57:232  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-24 22:13:57:236  电机温度计算完成, 位置标记：1
2020-12-24 22:13:57:238  电机温度计算完成, 位置标记：1
2020-12-24 22:13:57:240  电机温度计算完成, 位置标记：1
2020-12-24 22:13:57:242  电机温度计算完成, 位置标记：1
2020-12-24 22:13:57:244  电机温度计算完成, 位置标记：1
2020-12-24 22:13:57:246  电机温度计算完成, 位置标记：1
2020-12-24 22:13:57:248  电机温度计算完成, 位置标记：1
2020-12-24 22:13:57:250  电机温度计算完成, 位置标记：1
2020-12-24 22:13:57:252  车速为：45.4945位置标记为：1
2020-12-24 22:13:57:282  振动分轮计算完成, 位置标记：1
2020-12-24 22:13:57:442  振动特征值计算完成, 位置标记：1
2020-12-24 22:13:57:504  磁钢信号预处理完成，位置标记：0
2020-12-24 22:13:57:518  温度分轮成功，分轮数尺度为：48
2020-12-24 22:13:57:520  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-24 22:13:57:522  电机温度计算完成, 位置标记：0
2020-12-24 22:13:57:524  电机温度计算完成, 位置标记：0
2020-12-24 22:13:57:526  电机温度计算完成, 位置标记：0
2020-12-24 22:13:57:526  电机温度计算完成, 位置标记：0
2020-12-24 22:13:57:528  电机温度计算完成, 位置标记：0
2020-12-24 22:13:57:530  电机温度计算完成, 位置标记：0
2020-12-24 22:13:57:532  电机温度计算完成, 位置标记：0
2020-12-24 22:13:57:534  电机温度计算完成, 位置标记：0
2020-12-24 22:13:57:534  车速为：45.4945位置标记为：0
2020-12-24 22:13:57:568  振动分轮计算完成, 位置标记：0
2020-12-24 22:13:57:724  振动特征值计算完成, 位置标记：0
