2020-12-14 23:03:53:860  磁钢信号预处理完成，位置标记：1
2020-12-14 23:03:53:876  温度分轮成功，分轮数尺度为：48
2020-12-14 23:03:53:938  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-14 23:03:54:016  电机温度计算完成, 位置标记：1
2020-12-14 23:03:54:016  电机温度计算完成, 位置标记：1
2020-12-14 23:03:54:016  电机温度计算完成, 位置标记：1
2020-12-14 23:03:54:016  电机温度计算完成, 位置标记：1
2020-12-14 23:03:54:016  电机温度计算完成, 位置标记：1
2020-12-14 23:03:54:016  电机温度计算完成, 位置标记：1
2020-12-14 23:03:54:032  电机温度计算完成, 位置标记：1
2020-12-14 23:03:54:032  电机温度计算完成, 位置标记：1
2020-12-14 23:03:54:032  车速为：36.7184位置标记为：1
2020-12-14 23:03:54:048  振动分轮计算完成, 位置标记：1
2020-12-14 23:03:54:345  振动特征值计算完成, 位置标记：1
2020-12-14 23:03:54:391  磁钢信号预处理完成，位置标记：0
2020-12-14 23:03:54:407  温度分轮成功，分轮数尺度为：48
2020-12-14 23:03:54:470  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-14 23:03:54:532  电机温度计算完成, 位置标记：0
2020-12-14 23:03:54:548  电机温度计算完成, 位置标记：0
2020-12-14 23:03:54:548  电机温度计算完成, 位置标记：0
2020-12-14 23:03:54:548  电机温度计算完成, 位置标记：0
2020-12-14 23:03:54:548  电机温度计算完成, 位置标记：0
2020-12-14 23:03:54:548  电机温度计算完成, 位置标记：0
2020-12-14 23:03:54:548  电机温度计算完成, 位置标记：0
2020-12-14 23:03:54:563  电机温度计算完成, 位置标记：0
2020-12-14 23:03:54:563  车速为：36.7184位置标记为：0
2020-12-14 23:03:54:579  振动分轮计算完成, 位置标记：0
2020-12-14 23:03:54:860  振动特征值计算完成, 位置标记：0
