2020-12-26 05:49:00:604  磁钢信号预处理完成，位置标记：1
2020-12-26 05:49:00:616  温度分轮成功，分轮数尺度为：48
2020-12-26 05:49:00:630  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-26 05:49:00:640  电机温度计算完成, 位置标记：1
2020-12-26 05:49:00:643  电机温度计算完成, 位置标记：1
2020-12-26 05:49:00:647  电机温度计算完成, 位置标记：1
2020-12-26 05:49:00:651  电机温度计算完成, 位置标记：1
2020-12-26 05:49:00:654  电机温度计算完成, 位置标记：1
2020-12-26 05:49:00:658  电机温度计算完成, 位置标记：1
2020-12-26 05:49:00:662  电机温度计算完成, 位置标记：1
2020-12-26 05:49:00:665  电机温度计算完成, 位置标记：1
2020-12-26 05:49:00:666  车速为：73.7311位置标记为：1
2020-12-26 05:49:00:687  振动分轮计算完成, 位置标记：1
2020-12-26 05:49:01:040  振动特征值计算完成, 位置标记：1
2020-12-26 05:49:01:083  磁钢信号预处理完成，位置标记：0
2020-12-26 05:49:01:093  温度分轮成功，分轮数尺度为：48
2020-12-26 05:49:01:106  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-26 05:49:01:114  电机温度计算完成, 位置标记：0
2020-12-26 05:49:01:117  电机温度计算完成, 位置标记：0
2020-12-26 05:49:01:120  电机温度计算完成, 位置标记：0
2020-12-26 05:49:01:123  电机温度计算完成, 位置标记：0
2020-12-26 05:49:01:127  电机温度计算完成, 位置标记：0
2020-12-26 05:49:01:130  电机温度计算完成, 位置标记：0
2020-12-26 05:49:01:133  电机温度计算完成, 位置标记：0
2020-12-26 05:49:01:136  电机温度计算完成, 位置标记：0
2020-12-26 05:49:01:136  车速为：73.7311位置标记为：0
2020-12-26 05:49:01:154  振动分轮计算完成, 位置标记：0
2020-12-26 05:49:01:429  振动特征值计算完成, 位置标记：0
