2020-12-31 04:57:01:513  磁钢信号预处理完成，位置标记：1
2020-12-31 04:57:01:529  温度分轮成功，分轮数尺度为：48
2020-12-31 04:57:01:606  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-31 04:57:01:676  电机温度计算完成, 位置标记：1
2020-12-31 04:57:01:679  电机温度计算完成, 位置标记：1
2020-12-31 04:57:01:682  电机温度计算完成, 位置标记：1
2020-12-31 04:57:01:684  电机温度计算完成, 位置标记：1
2020-12-31 04:57:01:688  电机温度计算完成, 位置标记：1
2020-12-31 04:57:01:692  电机温度计算完成, 位置标记：1
2020-12-31 04:57:01:696  电机温度计算完成, 位置标记：1
2020-12-31 04:57:01:699  电机温度计算完成, 位置标记：1
2020-12-31 04:57:01:701  车速为：22.6787位置标记为：1
2020-12-31 04:57:01:731  振动分轮计算完成, 位置标记：1
2020-12-31 04:57:02:124  振动特征值计算完成, 位置标记：1
2020-12-31 04:57:02:203  磁钢信号预处理完成，位置标记：0
2020-12-31 04:57:02:219  温度分轮成功，分轮数尺度为：48
2020-12-31 04:57:02:297  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-31 04:57:02:370  电机温度计算完成, 位置标记：0
2020-12-31 04:57:02:375  电机温度计算完成, 位置标记：0
2020-12-31 04:57:02:379  电机温度计算完成, 位置标记：0
2020-12-31 04:57:02:383  电机温度计算完成, 位置标记：0
2020-12-31 04:57:02:387  电机温度计算完成, 位置标记：0
2020-12-31 04:57:02:390  电机温度计算完成, 位置标记：0
2020-12-31 04:57:02:394  电机温度计算完成, 位置标记：0
2020-12-31 04:57:02:397  电机温度计算完成, 位置标记：0
2020-12-31 04:57:02:399  车速为：22.6787位置标记为：0
2020-12-31 04:57:02:429  振动分轮计算完成, 位置标记：0
2020-12-31 04:57:02:839  振动特征值计算完成, 位置标记：0
