2020-12-24 23:05:04:266  磁钢信号预处理完成，位置标记：1
2020-12-24 23:05:04:276  温度分轮成功，分轮数尺度为：48
2020-12-24 23:05:04:323  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-24 23:05:04:373  电机温度计算完成, 位置标记：1
2020-12-24 23:05:04:376  电机温度计算完成, 位置标记：1
2020-12-24 23:05:04:379  电机温度计算完成, 位置标记：1
2020-12-24 23:05:04:383  电机温度计算完成, 位置标记：1
2020-12-24 23:05:04:386  电机温度计算完成, 位置标记：1
2020-12-24 23:05:04:388  电机温度计算完成, 位置标记：1
2020-12-24 23:05:04:391  电机温度计算完成, 位置标记：1
2020-12-24 23:05:04:394  电机温度计算完成, 位置标记：1
2020-12-24 23:05:04:396  车速为：36.5563位置标记为：1
2020-12-24 23:05:04:418  振动分轮计算完成, 位置标记：1
2020-12-24 23:05:04:678  振动特征值计算完成, 位置标记：1
2020-12-24 23:05:04:724  磁钢信号预处理完成，位置标记：0
2020-12-24 23:05:04:735  温度分轮成功，分轮数尺度为：48
2020-12-24 23:05:04:787  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-24 23:05:04:835  电机温度计算完成, 位置标记：0
2020-12-24 23:05:04:837  电机温度计算完成, 位置标记：0
2020-12-24 23:05:04:840  电机温度计算完成, 位置标记：0
2020-12-24 23:05:04:842  电机温度计算完成, 位置标记：0
2020-12-24 23:05:04:844  电机温度计算完成, 位置标记：0
2020-12-24 23:05:04:846  电机温度计算完成, 位置标记：0
2020-12-24 23:05:04:848  电机温度计算完成, 位置标记：0
2020-12-24 23:05:04:850  电机温度计算完成, 位置标记：0
2020-12-24 23:05:04:852  车速为：36.5563位置标记为：0
2020-12-24 23:05:04:869  振动分轮计算完成, 位置标记：0
2020-12-24 23:05:05:085  振动特征值计算完成, 位置标记：0
