2020-12-31 16:50:53:740  磁钢信号预处理完成，位置标记：1
2020-12-31 16:50:53:751  温度分轮成功，分轮数尺度为：48
2020-12-31 16:50:53:783  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-31 16:50:53:801  电机温度计算完成, 位置标记：1
2020-12-31 16:50:53:804  电机温度计算完成, 位置标记：1
2020-12-31 16:50:53:807  电机温度计算完成, 位置标记：1
2020-12-31 16:50:53:810  电机温度计算完成, 位置标记：1
2020-12-31 16:50:53:813  电机温度计算完成, 位置标记：1
2020-12-31 16:50:53:817  电机温度计算完成, 位置标记：1
2020-12-31 16:50:53:820  电机温度计算完成, 位置标记：1
2020-12-31 16:50:53:823  电机温度计算完成, 位置标记：1
2020-12-31 16:50:53:824  车速为：71.9374位置标记为：1
2020-12-31 16:50:53:843  振动分轮计算完成, 位置标记：1
2020-12-31 16:50:54:164  振动特征值计算完成, 位置标记：1
2020-12-31 16:50:54:220  磁钢信号预处理完成，位置标记：0
2020-12-31 16:50:54:231  温度分轮成功，分轮数尺度为：48
2020-12-31 16:50:54:254  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-31 16:50:54:277  电机温度计算完成, 位置标记：0
2020-12-31 16:50:54:285  电机温度计算完成, 位置标记：0
2020-12-31 16:50:54:288  电机温度计算完成, 位置标记：0
2020-12-31 16:50:54:291  电机温度计算完成, 位置标记：0
2020-12-31 16:50:54:294  电机温度计算完成, 位置标记：0
2020-12-31 16:50:54:297  电机温度计算完成, 位置标记：0
2020-12-31 16:50:54:300  电机温度计算完成, 位置标记：0
2020-12-31 16:50:54:304  电机温度计算完成, 位置标记：0
2020-12-31 16:50:54:305  车速为：71.9374位置标记为：0
2020-12-31 16:50:54:326  振动分轮计算完成, 位置标记：0
2020-12-31 16:50:54:643  振动特征值计算完成, 位置标记：0
