2020-12-15 23:05:03:762  磁钢信号预处理完成，位置标记：1
2020-12-15 23:05:03:791  温度分轮成功，分轮数尺度为：48
2020-12-15 23:05:03:856  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-15 23:05:03:920  电机温度计算完成, 位置标记：1
2020-12-15 23:05:03:923  电机温度计算完成, 位置标记：1
2020-12-15 23:05:03:927  电机温度计算完成, 位置标记：1
2020-12-15 23:05:03:930  电机温度计算完成, 位置标记：1
2020-12-15 23:05:03:933  电机温度计算完成, 位置标记：1
2020-12-15 23:05:03:936  电机温度计算完成, 位置标记：1
2020-12-15 23:05:03:938  电机温度计算完成, 位置标记：1
2020-12-15 23:05:03:941  电机温度计算完成, 位置标记：1
2020-12-15 23:05:03:943  车速为：36.6534位置标记为：1
2020-12-15 23:05:03:954  振动有效标记位计算异常，位置标记为：1
2020-12-15 23:05:04:007  磁钢信号预处理完成，位置标记：0
2020-12-15 23:05:04:019  温度分轮成功，分轮数尺度为：48
2020-12-15 23:05:04:086  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-15 23:05:04:151  电机温度计算完成, 位置标记：0
2020-12-15 23:05:04:154  电机温度计算完成, 位置标记：0
2020-12-15 23:05:04:158  电机温度计算完成, 位置标记：0
2020-12-15 23:05:04:161  电机温度计算完成, 位置标记：0
2020-12-15 23:05:04:164  电机温度计算完成, 位置标记：0
2020-12-15 23:05:04:167  电机温度计算完成, 位置标记：0
2020-12-15 23:05:04:170  电机温度计算完成, 位置标记：0
2020-12-15 23:05:04:172  电机温度计算完成, 位置标记：0
2020-12-15 23:05:04:174  车速为：36.6534位置标记为：0
2020-12-15 23:05:04:187  振动有效标记位计算异常，位置标记为：0
