2020-11-28 15:03:21:063  磁钢信号预处理完成，位置标记：1
2020-11-28 15:03:21:073  温度分轮成功，分轮数尺度为：48
2020-11-28 15:03:21:103  轴承端盖温度特征值计算完成, 位置标记：1
2020-11-28 15:03:21:120  电机温度计算完成, 位置标记：1
2020-11-28 15:03:21:122  电机温度计算完成, 位置标记：1
2020-11-28 15:03:21:125  电机温度计算完成, 位置标记：1
2020-11-28 15:03:21:128  电机温度计算完成, 位置标记：1
2020-11-28 15:03:21:130  电机温度计算完成, 位置标记：1
2020-11-28 15:03:21:133  电机温度计算完成, 位置标记：1
2020-11-28 15:03:21:136  电机温度计算完成, 位置标记：1
2020-11-28 15:03:21:139  电机温度计算完成, 位置标记：1
2020-11-28 15:03:21:140  车速为：72.0627位置标记为：1
2020-11-28 15:03:21:157  振动分轮计算完成, 位置标记：1
2020-11-28 15:03:21:396  振动特征值计算完成, 位置标记：1
2020-11-28 15:03:21:437  磁钢信号预处理完成，位置标记：0
2020-11-28 15:03:21:445  温度分轮成功，分轮数尺度为：48
2020-11-28 15:03:21:463  轴承端盖温度特征值计算完成, 位置标记：0
2020-11-28 15:03:21:483  电机温度计算完成, 位置标记：0
2020-11-28 15:03:21:488  电机温度计算完成, 位置标记：0
2020-11-28 15:03:21:502  电机温度计算完成, 位置标记：0
2020-11-28 15:03:21:505  电机温度计算完成, 位置标记：0
2020-11-28 15:03:21:508  电机温度计算完成, 位置标记：0
2020-11-28 15:03:21:511  电机温度计算完成, 位置标记：0
2020-11-28 15:03:21:513  电机温度计算完成, 位置标记：0
2020-11-28 15:03:21:516  电机温度计算完成, 位置标记：0
2020-11-28 15:03:21:517  车速为：72.0627位置标记为：0
2020-11-28 15:03:21:533  振动分轮计算完成, 位置标记：0
2020-11-28 15:03:21:761  振动特征值计算完成, 位置标记：0
