2020-12-28 23:05:02:926  磁钢信号预处理完成，位置标记：1
2020-12-28 23:05:02:938  温度分轮成功，分轮数尺度为：48
2020-12-28 23:05:03:004  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-28 23:05:03:067  电机温度计算完成, 位置标记：1
2020-12-28 23:05:03:070  电机温度计算完成, 位置标记：1
2020-12-28 23:05:03:074  电机温度计算完成, 位置标记：1
2020-12-28 23:05:03:077  电机温度计算完成, 位置标记：1
2020-12-28 23:05:03:079  电机温度计算完成, 位置标记：1
2020-12-28 23:05:03:082  电机温度计算完成, 位置标记：1
2020-12-28 23:05:03:085  电机温度计算完成, 位置标记：1
2020-12-28 23:05:03:087  电机温度计算完成, 位置标记：1
2020-12-28 23:05:03:089  车速为：36.7673位置标记为：1
2020-12-28 23:05:03:112  振动分轮计算完成, 位置标记：1
2020-12-28 23:05:03:382  振动特征值计算完成, 位置标记：1
2020-12-28 23:05:03:431  磁钢信号预处理完成，位置标记：0
2020-12-28 23:05:03:442  温度分轮成功，分轮数尺度为：48
2020-12-28 23:05:03:504  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-28 23:05:03:567  电机温度计算完成, 位置标记：0
2020-12-28 23:05:03:571  电机温度计算完成, 位置标记：0
2020-12-28 23:05:03:574  电机温度计算完成, 位置标记：0
2020-12-28 23:05:03:577  电机温度计算完成, 位置标记：0
2020-12-28 23:05:03:580  电机温度计算完成, 位置标记：0
2020-12-28 23:05:03:583  电机温度计算完成, 位置标记：0
2020-12-28 23:05:03:585  电机温度计算完成, 位置标记：0
2020-12-28 23:05:03:588  电机温度计算完成, 位置标记：0
2020-12-28 23:05:03:590  车速为：36.7673位置标记为：0
2020-12-28 23:05:03:613  振动分轮计算完成, 位置标记：0
2020-12-28 23:05:03:900  振动特征值计算完成, 位置标记：0
