2021-03-17 09:58:51:001  preprocess:磁钢信号预处理完成，位置标记：1
2021-03-17 09:58:51:037  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2021-03-17 09:58:51:044  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2021-03-17 09:58:51:052  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-17 09:58:51:053  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-17 09:58:51:055  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-17 09:58:51:056  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-17 09:58:51:057  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-17 09:58:51:059  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-17 09:58:51:061  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-17 09:58:51:062  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-17 09:58:51:063  车速为：44.1365位置标记为：1
2021-03-17 09:58:51:068  vibrationCalculate:G3分轮异常，位置标记为：1
2021-03-17 09:58:51:115  preprocess:磁钢信号预处理完成，位置标记：0
2021-03-17 09:58:51:120  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2021-03-17 09:58:51:127  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2021-03-17 09:58:51:135  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2021-03-17 09:58:51:136  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2021-03-17 09:58:51:137  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2021-03-17 09:58:51:139  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2021-03-17 09:58:51:141  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2021-03-17 09:58:51:142  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2021-03-17 09:58:51:144  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2021-03-17 09:58:51:145  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2021-03-17 09:58:51:146  车速为：44.1365位置标记为：0
2021-03-17 09:58:51:151  vibrationCalculate:G3分轮异常，位置标记为：0
