2020-12-31 18:11:09:947  磁钢信号预处理完成，位置标记：1
2020-12-31 18:11:09:964  温度分轮成功，分轮数尺度为：48
2020-12-31 18:11:09:985  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-31 18:11:10:007  电机温度计算完成, 位置标记：1
2020-12-31 18:11:10:009  电机温度计算完成, 位置标记：1
2020-12-31 18:11:10:011  电机温度计算完成, 位置标记：1
2020-12-31 18:11:10:013  电机温度计算完成, 位置标记：1
2020-12-31 18:11:10:015  电机温度计算完成, 位置标记：1
2020-12-31 18:11:10:017  电机温度计算完成, 位置标记：1
2020-12-31 18:11:10:018  电机温度计算完成, 位置标记：1
2020-12-31 18:11:10:020  电机温度计算完成, 位置标记：1
2020-12-31 18:11:10:021  车速为：43.8095位置标记为：1
2020-12-31 18:11:10:050  振动分轮计算完成, 位置标记：1
2020-12-31 18:11:10:244  振动特征值计算完成, 位置标记：1
2020-12-31 18:11:10:360  磁钢信号预处理完成，位置标记：0
2020-12-31 18:11:10:377  温度分轮成功，分轮数尺度为：48
2020-12-31 18:11:10:395  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-31 18:11:10:406  电机温度计算完成, 位置标记：0
2020-12-31 18:11:10:408  电机温度计算完成, 位置标记：0
2020-12-31 18:11:10:412  电机温度计算完成, 位置标记：0
2020-12-31 18:11:10:414  电机温度计算完成, 位置标记：0
2020-12-31 18:11:10:416  电机温度计算完成, 位置标记：0
2020-12-31 18:11:10:418  电机温度计算完成, 位置标记：0
2020-12-31 18:11:10:420  电机温度计算完成, 位置标记：0
2020-12-31 18:11:10:422  电机温度计算完成, 位置标记：0
2020-12-31 18:11:10:423  车速为：43.8095位置标记为：0
2020-12-31 18:11:10:451  振动分轮计算完成, 位置标记：0
2020-12-31 18:11:10:679  振动特征值计算完成, 位置标记：0
