2020-12-27 23:04:24:831  磁钢信号预处理完成，位置标记：1
2020-12-27 23:04:24:842  温度分轮成功，分轮数尺度为：48
2020-12-27 23:04:24:892  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-27 23:04:24:955  电机温度计算完成, 位置标记：1
2020-12-27 23:04:24:959  电机温度计算完成, 位置标记：1
2020-12-27 23:04:24:962  电机温度计算完成, 位置标记：1
2020-12-27 23:04:24:965  电机温度计算完成, 位置标记：1
2020-12-27 23:04:24:968  电机温度计算完成, 位置标记：1
2020-12-27 23:04:24:971  电机温度计算完成, 位置标记：1
2020-12-27 23:04:24:973  电机温度计算完成, 位置标记：1
2020-12-27 23:04:24:976  电机温度计算完成, 位置标记：1
2020-12-27 23:04:24:978  车速为：36.7837位置标记为：1
2020-12-27 23:04:25:001  振动分轮计算完成, 位置标记：1
2020-12-27 23:04:25:270  振动特征值计算完成, 位置标记：1
2020-12-27 23:04:25:325  磁钢信号预处理完成，位置标记：0
2020-12-27 23:04:25:338  温度分轮成功，分轮数尺度为：48
2020-12-27 23:04:25:403  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-27 23:04:25:467  电机温度计算完成, 位置标记：0
2020-12-27 23:04:25:470  电机温度计算完成, 位置标记：0
2020-12-27 23:04:25:474  电机温度计算完成, 位置标记：0
2020-12-27 23:04:25:477  电机温度计算完成, 位置标记：0
2020-12-27 23:04:25:480  电机温度计算完成, 位置标记：0
2020-12-27 23:04:25:483  电机温度计算完成, 位置标记：0
2020-12-27 23:04:25:486  电机温度计算完成, 位置标记：0
2020-12-27 23:04:25:488  电机温度计算完成, 位置标记：0
2020-12-27 23:04:25:490  车速为：36.7837位置标记为：0
2020-12-27 23:04:25:511  振动分轮计算完成, 位置标记：0
2020-12-27 23:04:25:799  振动特征值计算完成, 位置标记：0
