2020-12-27 01:40:25:717  磁钢信号预处理完成，位置标记：1
2020-12-27 01:40:25:737  温度分轮成功，分轮数尺度为：48
2020-12-27 01:40:25:784  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-27 01:40:25:825  电机温度计算完成, 位置标记：1
2020-12-27 01:40:25:829  电机温度计算完成, 位置标记：1
2020-12-27 01:40:25:833  电机温度计算完成, 位置标记：1
2020-12-27 01:40:25:835  电机温度计算完成, 位置标记：1
2020-12-27 01:40:25:837  电机温度计算完成, 位置标记：1
2020-12-27 01:40:25:841  电机温度计算完成, 位置标记：1
2020-12-27 01:40:25:843  电机温度计算完成, 位置标记：1
2020-12-27 01:40:25:845  电机温度计算完成, 位置标记：1
2020-12-27 01:40:25:845  车速为：13.3872位置标记为：1
2020-12-27 01:40:25:873  振动分轮计算完成, 位置标记：1
2020-12-27 01:40:26:179  振动特征值计算完成, 位置标记：1
2020-12-27 01:40:26:241  磁钢信号预处理完成，位置标记：0
2020-12-27 01:40:26:259  温度分轮成功，分轮数尺度为：48
2020-12-27 01:40:26:299  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-27 01:40:26:343  电机温度计算完成, 位置标记：0
2020-12-27 01:40:26:349  电机温度计算完成, 位置标记：0
2020-12-27 01:40:26:353  电机温度计算完成, 位置标记：0
2020-12-27 01:40:26:355  电机温度计算完成, 位置标记：0
2020-12-27 01:40:26:359  电机温度计算完成, 位置标记：0
2020-12-27 01:40:26:361  电机温度计算完成, 位置标记：0
2020-12-27 01:40:26:365  电机温度计算完成, 位置标记：0
2020-12-27 01:40:26:367  电机温度计算完成, 位置标记：0
2020-12-27 01:40:26:367  车速为：13.3872位置标记为：0
2020-12-27 01:40:26:395  振动分轮计算完成, 位置标记：0
2020-12-27 01:40:26:703  振动特征值计算完成, 位置标记：0
