2020-11-24 15:03:43:528  磁钢信号预处理完成，位置标记：1
2020-11-24 15:03:43:549  温度分轮成功，分轮数尺度为：48
2020-11-24 15:03:43:578  轴承端盖温度特征值计算完成, 位置标记：1
2020-11-24 15:03:43:606  电机温度计算完成, 位置标记：1
2020-11-24 15:03:43:610  电机温度计算完成, 位置标记：1
2020-11-24 15:03:43:613  电机温度计算完成, 位置标记：1
2020-11-24 15:03:43:616  电机温度计算完成, 位置标记：1
2020-11-24 15:03:43:620  电机温度计算完成, 位置标记：1
2020-11-24 15:03:43:623  电机温度计算完成, 位置标记：1
2020-11-24 15:03:43:626  电机温度计算完成, 位置标记：1
2020-11-24 15:03:43:630  电机温度计算完成, 位置标记：1
2020-11-24 15:03:43:631  车速为：66.24位置标记为：1
2020-11-24 15:03:43:669  振动分轮计算完成, 位置标记：1
2020-11-24 15:03:44:250  振动特征值计算完成, 位置标记：1
2020-11-24 15:03:44:355  磁钢信号预处理完成，位置标记：0
2020-11-24 15:03:44:376  温度分轮成功，分轮数尺度为：48
2020-11-24 15:03:44:419  轴承端盖温度特征值计算完成, 位置标记：0
2020-11-24 15:03:44:447  电机温度计算完成, 位置标记：0
2020-11-24 15:03:44:450  电机温度计算完成, 位置标记：0
2020-11-24 15:03:44:454  电机温度计算完成, 位置标记：0
2020-11-24 15:03:44:457  电机温度计算完成, 位置标记：0
2020-11-24 15:03:44:460  电机温度计算完成, 位置标记：0
2020-11-24 15:03:44:463  电机温度计算完成, 位置标记：0
2020-11-24 15:03:44:467  电机温度计算完成, 位置标记：0
2020-11-24 15:03:44:470  电机温度计算完成, 位置标记：0
2020-11-24 15:03:44:472  车速为：66.24位置标记为：0
2020-11-24 15:03:44:509  振动分轮计算完成, 位置标记：0
2020-11-24 15:03:44:994  振动特征值计算完成, 位置标记：0
