2020-12-10 23:03:25:111  磁钢信号预处理完成，位置标记：1
2020-12-10 23:03:25:127  温度分轮成功，分轮数尺度为：48
2020-12-10 23:03:25:190  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-10 23:03:25:252  电机温度计算完成, 位置标记：1
2020-12-10 23:03:25:252  电机温度计算完成, 位置标记：1
2020-12-10 23:03:25:268  电机温度计算完成, 位置标记：1
2020-12-10 23:03:25:268  电机温度计算完成, 位置标记：1
2020-12-10 23:03:25:268  电机温度计算完成, 位置标记：1
2020-12-10 23:03:25:268  电机温度计算完成, 位置标记：1
2020-12-10 23:03:25:268  电机温度计算完成, 位置标记：1
2020-12-10 23:03:25:268  电机温度计算完成, 位置标记：1
2020-12-10 23:03:25:283  车速为：36.7673位置标记为：1
2020-12-10 23:03:25:299  振动分轮计算完成, 位置标记：1
2020-12-10 23:03:25:580  振动特征值计算完成, 位置标记：1
2020-12-10 23:03:25:627  磁钢信号预处理完成，位置标记：0
2020-12-10 23:03:25:643  温度分轮成功，分轮数尺度为：48
2020-12-10 23:03:25:705  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-10 23:03:25:783  电机温度计算完成, 位置标记：0
2020-12-10 23:03:25:783  电机温度计算完成, 位置标记：0
2020-12-10 23:03:25:783  电机温度计算完成, 位置标记：0
2020-12-10 23:03:25:783  电机温度计算完成, 位置标记：0
2020-12-10 23:03:25:783  电机温度计算完成, 位置标记：0
2020-12-10 23:03:25:799  电机温度计算完成, 位置标记：0
2020-12-10 23:03:25:799  电机温度计算完成, 位置标记：0
2020-12-10 23:03:25:799  电机温度计算完成, 位置标记：0
2020-12-10 23:03:25:799  车速为：36.7673位置标记为：0
2020-12-10 23:03:25:830  振动分轮计算完成, 位置标记：0
2020-12-10 23:03:26:096  振动特征值计算完成, 位置标记：0
