2020-12-11 23:05:04:984  磁钢信号预处理完成，位置标记：1
2020-12-11 23:05:05:000  温度分轮成功，分轮数尺度为：48
2020-12-11 23:05:05:062  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-11 23:05:05:125  电机温度计算完成, 位置标记：1
2020-12-11 23:05:05:125  电机温度计算完成, 位置标记：1
2020-12-11 23:05:05:140  电机温度计算完成, 位置标记：1
2020-12-11 23:05:05:140  电机温度计算完成, 位置标记：1
2020-12-11 23:05:05:140  电机温度计算完成, 位置标记：1
2020-12-11 23:05:05:140  电机温度计算完成, 位置标记：1
2020-12-11 23:05:05:140  电机温度计算完成, 位置标记：1
2020-12-11 23:05:05:156  电机温度计算完成, 位置标记：1
2020-12-11 23:05:05:156  车速为：36.7184位置标记为：1
2020-12-11 23:05:05:172  振动分轮计算完成, 位置标记：1
2020-12-11 23:05:05:468  振动特征值计算完成, 位置标记：1
2020-12-11 23:05:05:515  磁钢信号预处理完成，位置标记：0
2020-12-11 23:05:05:531  温度分轮成功，分轮数尺度为：48
2020-12-11 23:05:05:593  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-11 23:05:05:656  电机温度计算完成, 位置标记：0
2020-12-11 23:05:05:672  电机温度计算完成, 位置标记：0
2020-12-11 23:05:05:672  电机温度计算完成, 位置标记：0
2020-12-11 23:05:05:672  电机温度计算完成, 位置标记：0
2020-12-11 23:05:05:672  电机温度计算完成, 位置标记：0
2020-12-11 23:05:05:672  电机温度计算完成, 位置标记：0
2020-12-11 23:05:05:687  电机温度计算完成, 位置标记：0
2020-12-11 23:05:05:687  电机温度计算完成, 位置标记：0
2020-12-11 23:05:05:687  车速为：36.7184位置标记为：0
2020-12-11 23:05:05:703  振动分轮计算完成, 位置标记：0
2020-12-11 23:05:06:000  振动特征值计算完成, 位置标记：0
