2021-03-03 16:17:29:772  preprocess:磁钢信号预处理完成，位置标记：1
2021-03-03 16:17:29:778  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2021-03-03 16:17:29:791  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2021-03-03 16:17:29:805  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:17:29:807  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:17:29:808  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:17:29:810  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:17:29:812  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:17:29:813  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:17:29:816  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:17:29:817  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:17:29:818  车速为：66.293位置标记为：1
2021-03-03 16:17:29:827  vibrationCalculate:计算完成, 位置标记：1
2021-03-03 16:17:29:939  vibrationCalculate:振动特征值计算完成, 位置标记：1
2021-03-03 16:17:29:989  preprocess:磁钢信号预处理完成，位置标记：0
2021-03-03 16:17:29:995  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2021-03-03 16:17:30:008  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2021-03-03 16:17:30:019  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2021-03-03 16:17:30:021  electricalTemperatureCalculate:vect2数据分离异常，位置标记：0
2021-03-03 16:17:30:021  车速为：66.293位置标记为：0
2021-03-03 16:17:30:031  vibrationCalculate:计算完成, 位置标记：0
2021-03-03 16:17:30:144  vibrationCalculate:振动特征值计算完成, 位置标记：0
2021-03-03 16:27:37:932  preprocess:磁钢信号预处理完成，位置标记：1
2021-03-03 16:27:37:938  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2021-03-03 16:27:37:948  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2021-03-03 16:27:37:960  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:27:37:961  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:27:37:962  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:27:37:964  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:27:37:965  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:27:37:967  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:27:37:969  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:27:37:970  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2021-03-03 16:27:37:971  车速为：66.293位置标记为：1
2021-03-03 16:27:37:981  vibrationCalculate:计算完成, 位置标记：1
2021-03-03 16:27:38:101  vibrationCalculate:振动特征值计算完成, 位置标记：1
2021-03-03 16:27:38:141  preprocess:磁钢信号预处理完成，位置标记：0
2021-03-03 16:27:38:146  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2021-03-03 16:27:38:157  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2021-03-03 16:27:38:168  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2021-03-03 16:27:38:170  electricalTemperatureCalculate:vect2数据分离异常，位置标记：0
2021-03-03 16:27:38:170  车速为：66.293位置标记为：0
2021-03-03 16:27:38:180  vibrationCalculate:计算完成, 位置标记：0
2021-03-03 16:27:38:295  vibrationCalculate:振动特征值计算完成, 位置标记：0
2021-03-03 16:28:13:507  preprocess:磁钢信号预处理完成，位置标记：1
2021-03-03 16:28:13:513  temperatureCalculate：G2分轮完成，分轮数尺度为：48
