2020-12-29 23:03:24:467  磁钢信号预处理完成，位置标记：1
2020-12-29 23:03:24:477  温度分轮成功，分轮数尺度为：48
2020-12-29 23:03:24:543  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-29 23:03:24:608  电机温度计算完成, 位置标记：1
2020-12-29 23:03:24:612  电机温度计算完成, 位置标记：1
2020-12-29 23:03:24:615  电机温度计算完成, 位置标记：1
2020-12-29 23:03:24:618  电机温度计算完成, 位置标记：1
2020-12-29 23:03:24:621  电机温度计算完成, 位置标记：1
2020-12-29 23:03:24:623  电机温度计算完成, 位置标记：1
2020-12-29 23:03:24:626  电机温度计算完成, 位置标记：1
2020-12-29 23:03:24:629  电机温度计算完成, 位置标记：1
2020-12-29 23:03:24:630  车速为：36.6696位置标记为：1
2020-12-29 23:03:24:653  振动分轮计算完成, 位置标记：1
2020-12-29 23:03:24:901  振动特征值计算完成, 位置标记：1
2020-12-29 23:03:24:948  磁钢信号预处理完成，位置标记：0
2020-12-29 23:03:24:959  温度分轮成功，分轮数尺度为：48
2020-12-29 23:03:25:009  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-29 23:03:25:054  电机温度计算完成, 位置标记：0
2020-12-29 23:03:25:057  电机温度计算完成, 位置标记：0
2020-12-29 23:03:25:059  电机温度计算完成, 位置标记：0
2020-12-29 23:03:25:062  电机温度计算完成, 位置标记：0
2020-12-29 23:03:25:065  电机温度计算完成, 位置标记：0
2020-12-29 23:03:25:066  电机温度计算完成, 位置标记：0
2020-12-29 23:03:25:068  电机温度计算完成, 位置标记：0
2020-12-29 23:03:25:070  电机温度计算完成, 位置标记：0
2020-12-29 23:03:25:072  车速为：36.6696位置标记为：0
2020-12-29 23:03:25:088  振动分轮计算完成, 位置标记：0
2020-12-29 23:03:25:306  振动特征值计算完成, 位置标记：0
