2022-07-10 14:02:57:200  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-10 14:02:57:205  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 14:02:57:254  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-10 14:02:57:302  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:02:57:304  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:02:57:306  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:02:57:308  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:02:57:310  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:02:57:312  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:02:57:314  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:02:57:316  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:02:57:317  车速为：13.8位置标记为：1
2022-07-10 14:02:57:327  vibrationCalculate:计算完成, 位置标记：1
2022-07-10 14:12:23:072  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-10 14:12:23:076  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 14:12:23:085  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-10 14:12:23:092  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:23:093  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:23:095  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:23:097  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:23:100  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:23:102  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:23:103  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:23:105  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:23:106  车速为：72.2513位置标记为：1
2022-07-10 14:12:23:113  vibrationCalculate:计算完成, 位置标记：1
2022-07-10 14:12:23:238  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-10 14:12:23:279  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-10 14:12:23:282  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 14:12:23:291  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-10 14:12:23:300  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:23:302  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:23:304  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:23:305  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:23:307  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:23:309  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:23:311  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:23:313  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:23:314  车速为：72.2513位置标记为：0
2022-07-10 14:12:23:321  vibrationCalculate:计算完成, 位置标记：0
2022-07-10 14:12:23:441  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-10 14:12:40:999  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-10 14:12:41:007  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 14:12:41:015  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-10 14:12:41:022  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:41:023  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:41:025  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:41:026  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:41:028  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:41:029  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:41:030  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:41:032  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:41:033  车速为：22.0154位置标记为：1
2022-07-10 14:12:41:042  vibrationCalculate:计算完成, 位置标记：1
2022-07-10 14:12:41:130  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-10 14:12:41:179  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-10 14:12:41:184  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 14:12:41:190  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-10 14:12:41:194  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:41:196  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:41:197  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:41:198  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:41:199  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:41:201  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:41:202  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:41:204  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:41:206  车速为：22.0154位置标记为：0
2022-07-10 14:12:41:217  vibrationCalculate:计算完成, 位置标记：0
2022-07-10 14:12:41:303  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-10 14:12:56:874  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-10 14:12:56:878  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 14:12:56:890  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-10 14:12:56:899  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:56:901  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:56:903  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:56:905  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:56:907  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:56:909  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:56:911  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:56:918  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:12:56:919  车速为：72.2513位置标记为：1
2022-07-10 14:12:56:926  vibrationCalculate:计算完成, 位置标记：1
2022-07-10 14:12:57:079  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-10 14:12:57:114  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-10 14:12:57:118  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 14:12:57:129  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-10 14:12:57:138  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:57:140  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:57:142  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:57:144  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:57:146  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:57:148  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:57:150  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:57:152  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 14:12:57:153  车速为：72.2513位置标记为：0
2022-07-10 14:12:57:159  vibrationCalculate:计算完成, 位置标记：0
2022-07-10 14:12:57:313  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-10 14:13:06:536  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-10 14:13:06:541  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 14:13:06:547  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-10 14:13:06:553  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:13:06:555  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:13:06:556  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:13:06:558  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 14:13:06:563  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
