2020-12-27 05:53:28:397  磁钢信号预处理完成，位置标记：1
2020-12-27 05:53:28:407  温度分轮成功，分轮数尺度为：48
2020-12-27 05:53:28:418  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-27 05:53:28:426  电机温度计算完成, 位置标记：1
2020-12-27 05:53:28:429  电机温度计算完成, 位置标记：1
2020-12-27 05:53:28:432  电机温度计算完成, 位置标记：1
2020-12-27 05:53:28:435  电机温度计算完成, 位置标记：1
2020-12-27 05:53:28:438  电机温度计算完成, 位置标记：1
2020-12-27 05:53:28:441  电机温度计算完成, 位置标记：1
2020-12-27 05:53:28:444  电机温度计算完成, 位置标记：1
2020-12-27 05:53:28:447  电机温度计算完成, 位置标记：1
2020-12-27 05:53:28:448  车速为：82.2244位置标记为：1
2020-12-27 05:53:28:468  振动分轮计算完成, 位置标记：1
2020-12-27 05:53:28:752  振动特征值计算完成, 位置标记：1
2020-12-27 05:53:28:790  磁钢信号预处理完成，位置标记：0
2020-12-27 05:53:28:799  温度分轮成功，分轮数尺度为：48
2020-12-27 05:53:28:809  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-27 05:53:28:818  电机温度计算完成, 位置标记：0
2020-12-27 05:53:28:821  电机温度计算完成, 位置标记：0
2020-12-27 05:53:28:824  电机温度计算完成, 位置标记：0
2020-12-27 05:53:28:827  电机温度计算完成, 位置标记：0
2020-12-27 05:53:28:830  电机温度计算完成, 位置标记：0
2020-12-27 05:53:28:833  电机温度计算完成, 位置标记：0
2020-12-27 05:53:28:837  电机温度计算完成, 位置标记：0
2020-12-27 05:53:28:839  电机温度计算完成, 位置标记：0
2020-12-27 05:53:28:839  车速为：82.2244位置标记为：0
2020-12-27 05:53:28:860  振动分轮计算完成, 位置标记：0
2020-12-27 05:53:29:150  振动特征值计算完成, 位置标记：0
