2020-12-21 23:03:45:869  磁钢信号预处理完成，位置标记：1
2020-12-21 23:03:45:878  温度分轮成功，分轮数尺度为：48
2020-12-21 23:03:45:923  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-21 23:03:45:967  电机温度计算完成, 位置标记：1
2020-12-21 23:03:45:969  电机温度计算完成, 位置标记：1
2020-12-21 23:03:45:971  电机温度计算完成, 位置标记：1
2020-12-21 23:03:45:973  电机温度计算完成, 位置标记：1
2020-12-21 23:03:45:975  电机温度计算完成, 位置标记：1
2020-12-21 23:03:45:978  电机温度计算完成, 位置标记：1
2020-12-21 23:03:45:979  电机温度计算完成, 位置标记：1
2020-12-21 23:03:45:981  电机温度计算完成, 位置标记：1
2020-12-21 23:03:45:983  车速为：36.8984位置标记为：1
2020-12-21 23:03:45:998  振动分轮计算完成, 位置标记：1
2020-12-21 23:03:46:202  振动特征值计算完成, 位置标记：1
2020-12-21 23:03:46:242  磁钢信号预处理完成，位置标记：0
2020-12-21 23:03:46:251  温度分轮成功，分轮数尺度为：48
2020-12-21 23:03:46:295  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-21 23:03:46:338  电机温度计算完成, 位置标记：0
2020-12-21 23:03:46:340  电机温度计算完成, 位置标记：0
2020-12-21 23:03:46:343  电机温度计算完成, 位置标记：0
2020-12-21 23:03:46:345  电机温度计算完成, 位置标记：0
2020-12-21 23:03:46:347  电机温度计算完成, 位置标记：0
2020-12-21 23:03:46:349  电机温度计算完成, 位置标记：0
2020-12-21 23:03:46:350  电机温度计算完成, 位置标记：0
2020-12-21 23:03:46:352  电机温度计算完成, 位置标记：0
2020-12-21 23:03:46:354  车速为：36.8984位置标记为：0
2020-12-21 23:03:46:373  振动分轮计算完成, 位置标记：0
2020-12-21 23:03:46:640  振动特征值计算完成, 位置标记：0
