2020-12-31 17:02:15:777  磁钢信号预处理完成，位置标记：1
2020-12-31 17:02:15:793  温度分轮成功，分轮数尺度为：48
2020-12-31 17:02:15:808  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-31 17:02:15:824  电机温度计算完成, 位置标记：1
2020-12-31 17:02:15:824  电机温度计算完成, 位置标记：1
2020-12-31 17:02:15:839  电机温度计算完成, 位置标记：1
2020-12-31 17:02:15:839  电机温度计算完成, 位置标记：1
2020-12-31 17:02:15:839  电机温度计算完成, 位置标记：1
2020-12-31 17:02:15:839  电机温度计算完成, 位置标记：1
2020-12-31 17:02:15:839  电机温度计算完成, 位置标记：1
2020-12-31 17:02:15:855  电机温度计算完成, 位置标记：1
2020-12-31 17:02:15:855  车速为：72.0627位置标记为：1
2020-12-31 17:02:15:871  振动分轮计算完成, 位置标记：1
2020-12-31 17:02:16:183  振动特征值计算完成, 位置标记：1
2020-12-31 17:02:16:230  磁钢信号预处理完成，位置标记：0
2020-12-31 17:02:16:246  温度分轮成功，分轮数尺度为：48
2020-12-31 17:02:16:261  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-31 17:02:16:293  电机温度计算完成, 位置标记：0
2020-12-31 17:02:16:293  电机温度计算完成, 位置标记：0
2020-12-31 17:02:16:293  电机温度计算完成, 位置标记：0
2020-12-31 17:02:16:293  电机温度计算完成, 位置标记：0
2020-12-31 17:02:16:293  电机温度计算完成, 位置标记：0
2020-12-31 17:02:16:293  电机温度计算完成, 位置标记：0
2020-12-31 17:02:16:308  电机温度计算完成, 位置标记：0
2020-12-31 17:02:16:308  电机温度计算完成, 位置标记：0
2020-12-31 17:02:16:308  车速为：72.0627位置标记为：0
2020-12-31 17:02:16:324  振动分轮计算完成, 位置标记：0
2020-12-31 17:02:16:626  振动特征值计算完成, 位置标记：0
