2022-07-10 18:44:33:241  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-10 18:44:33:248  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 18:44:33:260  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-10 18:44:33:267  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:44:33:269  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:44:33:270  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:44:33:271  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:44:33:273  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:44:33:275  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:44:33:277  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:44:33:279  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:44:33:279  车速为：22.0154位置标记为：1
2022-07-10 18:44:33:289  vibrationCalculate:计算完成, 位置标记：1
2022-07-10 18:44:33:384  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-10 18:44:33:466  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-10 18:44:33:473  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 18:44:33:482  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-10 18:44:33:488  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:44:33:490  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:44:33:492  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:44:33:494  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:44:33:495  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:44:33:496  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:44:33:498  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:44:33:500  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:44:33:502  车速为：22.0154位置标记为：0
2022-07-10 18:44:33:512  vibrationCalculate:计算完成, 位置标记：0
2022-07-10 18:44:33:616  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-10 18:45:58:399  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-10 18:45:58:404  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 18:45:58:410  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-10 18:45:58:416  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:45:58:418  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:45:58:420  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:45:58:421  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:45:58:423  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:45:58:425  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:45:58:427  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:45:58:429  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:45:58:429  车速为：22.0154位置标记为：1
2022-07-10 18:45:58:439  vibrationCalculate:计算完成, 位置标记：1
2022-07-10 18:45:58:527  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-10 18:45:58:577  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-10 18:45:58:583  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 18:45:58:588  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-10 18:45:58:593  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:45:58:595  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:45:58:596  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:45:58:598  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:45:58:600  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:45:58:601  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:45:58:603  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:45:58:604  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:45:58:605  车速为：22.0154位置标记为：0
2022-07-10 18:45:58:615  vibrationCalculate:计算完成, 位置标记：0
2022-07-10 18:45:58:706  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-10 18:54:27:551  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-10 18:54:27:556  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 18:54:27:563  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-10 18:54:27:568  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:54:27:570  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:54:27:571  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:54:27:581  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:54:27:584  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:54:27:586  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:54:27:587  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:54:27:589  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:54:27:590  车速为：22.0154位置标记为：1
2022-07-10 18:54:27:600  vibrationCalculate:计算完成, 位置标记：1
2022-07-10 18:54:27:697  vibrationCalculate:振动特征值计算完成, 位置标记：1
2022-07-10 18:54:27:750  preprocess:磁钢信号预处理完成，位置标记：0
2022-07-10 18:54:27:755  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 18:54:27:761  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：0
2022-07-10 18:54:27:767  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:54:27:768  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:54:27:769  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:54:27:771  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:54:27:772  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:54:27:773  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:54:27:775  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:54:27:776  electricalTemperatureCalculate:电机温度计算完成, 位置标记：0
2022-07-10 18:54:27:778  车速为：22.0154位置标记为：0
2022-07-10 18:54:27:789  vibrationCalculate:计算完成, 位置标记：0
2022-07-10 18:54:27:871  vibrationCalculate:振动特征值计算完成, 位置标记：0
2022-07-10 18:54:42:282  preprocess:磁钢信号预处理完成，位置标记：1
2022-07-10 18:54:42:286  temperatureCalculate：G2分轮完成，分轮数尺度为：48
2022-07-10 18:54:42:296  temperatureCalculate：轴承端盖温度特征值计算完成, 位置标记：1
2022-07-10 18:54:42:303  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:54:42:305  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
2022-07-10 18:54:42:306  electricalTemperatureCalculate:电机温度计算完成, 位置标记：1
