2020-12-22 23:03:48:863  磁钢信号预处理完成，位置标记：1
2020-12-22 23:03:48:874  温度分轮成功，分轮数尺度为：48
2020-12-22 23:03:48:939  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-22 23:03:49:003  电机温度计算完成, 位置标记：1
2020-12-22 23:03:49:006  电机温度计算完成, 位置标记：1
2020-12-22 23:03:49:010  电机温度计算完成, 位置标记：1
2020-12-22 23:03:49:012  电机温度计算完成, 位置标记：1
2020-12-22 23:03:49:015  电机温度计算完成, 位置标记：1
2020-12-22 23:03:49:017  电机温度计算完成, 位置标记：1
2020-12-22 23:03:49:020  电机温度计算完成, 位置标记：1
2020-12-22 23:03:49:022  电机温度计算完成, 位置标记：1
2020-12-22 23:03:49:024  车速为：36.621位置标记为：1
2020-12-22 23:03:49:035  振动有效标记位计算异常，位置标记为：1
2020-12-22 23:03:49:088  磁钢信号预处理完成，位置标记：0
2020-12-22 23:03:49:101  温度分轮成功，分轮数尺度为：48
2020-12-22 23:03:49:166  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-22 23:03:49:229  电机温度计算完成, 位置标记：0
2020-12-22 23:03:49:232  电机温度计算完成, 位置标记：0
2020-12-22 23:03:49:235  电机温度计算完成, 位置标记：0
2020-12-22 23:03:49:238  电机温度计算完成, 位置标记：0
2020-12-22 23:03:49:240  电机温度计算完成, 位置标记：0
2020-12-22 23:03:49:243  电机温度计算完成, 位置标记：0
2020-12-22 23:03:49:245  电机温度计算完成, 位置标记：0
2020-12-22 23:03:49:248  电机温度计算完成, 位置标记：0
2020-12-22 23:03:49:249  车速为：36.621位置标记为：0
2020-12-22 23:03:49:261  振动有效标记位计算异常，位置标记为：0
