2020-12-28 00:56:57:372  磁钢信号预处理完成，位置标记：1
2020-12-28 00:56:57:385  温度分轮成功，分轮数尺度为：48
2020-12-28 00:56:57:404  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-28 00:56:57:417  电机温度计算完成, 位置标记：1
2020-12-28 00:56:57:421  电机温度计算完成, 位置标记：1
2020-12-28 00:56:57:425  电机温度计算完成, 位置标记：1
2020-12-28 00:56:57:430  电机温度计算完成, 位置标记：1
2020-12-28 00:56:57:434  电机温度计算完成, 位置标记：1
2020-12-28 00:56:57:438  电机温度计算完成, 位置标记：1
2020-12-28 00:56:57:442  电机温度计算完成, 位置标记：1
2020-12-28 00:56:57:446  电机温度计算完成, 位置标记：1
2020-12-28 00:56:57:447  车速为：55.0898位置标记为：1
2020-12-28 00:56:57:470  振动分轮计算完成, 位置标记：1
2020-12-28 00:56:57:835  振动特征值计算完成, 位置标记：1
2020-12-28 00:56:57:891  磁钢信号预处理完成，位置标记：0
2020-12-28 00:56:57:902  温度分轮成功，分轮数尺度为：48
2020-12-28 00:56:57:916  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-28 00:56:57:927  电机温度计算完成, 位置标记：0
2020-12-28 00:56:57:930  电机温度计算完成, 位置标记：0
2020-12-28 00:56:57:933  电机温度计算完成, 位置标记：0
2020-12-28 00:56:57:936  电机温度计算完成, 位置标记：0
2020-12-28 00:56:57:940  电机温度计算完成, 位置标记：0
2020-12-28 00:56:57:943  电机温度计算完成, 位置标记：0
2020-12-28 00:56:57:947  电机温度计算完成, 位置标记：0
2020-12-28 00:56:57:949  电机温度计算完成, 位置标记：0
2020-12-28 00:56:57:950  车速为：55.0898位置标记为：0
2020-12-28 00:56:57:967  振动分轮计算完成, 位置标记：0
2020-12-28 00:56:58:308  振动特征值计算完成, 位置标记：0
