2020-12-26 23:04:37:962  磁钢信号预处理完成，位置标记：1
2020-12-26 23:04:37:971  温度分轮成功，分轮数尺度为：48
2020-12-26 23:04:38:017  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-26 23:04:38:071  电机温度计算完成, 位置标记：1
2020-12-26 23:04:38:074  电机温度计算完成, 位置标记：1
2020-12-26 23:04:38:077  电机温度计算完成, 位置标记：1
2020-12-26 23:04:38:079  电机温度计算完成, 位置标记：1
2020-12-26 23:04:38:082  电机温度计算完成, 位置标记：1
2020-12-26 23:04:38:085  电机温度计算完成, 位置标记：1
2020-12-26 23:04:38:087  电机温度计算完成, 位置标记：1
2020-12-26 23:04:38:090  电机温度计算完成, 位置标记：1
2020-12-26 23:04:38:091  车速为：36.7347位置标记为：1
2020-12-26 23:04:38:113  振动分轮计算完成, 位置标记：1
2020-12-26 23:04:38:373  振动特征值计算完成, 位置标记：1
2020-12-26 23:04:38:429  磁钢信号预处理完成，位置标记：0
2020-12-26 23:04:38:442  温度分轮成功，分轮数尺度为：48
2020-12-26 23:04:38:505  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-26 23:04:38:563  电机温度计算完成, 位置标记：0
2020-12-26 23:04:38:567  电机温度计算完成, 位置标记：0
2020-12-26 23:04:38:570  电机温度计算完成, 位置标记：0
2020-12-26 23:04:38:573  电机温度计算完成, 位置标记：0
2020-12-26 23:04:38:576  电机温度计算完成, 位置标记：0
2020-12-26 23:04:38:579  电机温度计算完成, 位置标记：0
2020-12-26 23:04:38:581  电机温度计算完成, 位置标记：0
2020-12-26 23:04:38:584  电机温度计算完成, 位置标记：0
2020-12-26 23:04:38:586  车速为：36.7347位置标记为：0
2020-12-26 23:04:38:609  振动分轮计算完成, 位置标记：0
2020-12-26 23:04:38:878  振动特征值计算完成, 位置标记：0
