2020-12-30 05:49:09:717  磁钢信号预处理完成，位置标记：1
2020-12-30 05:49:09:725  温度分轮成功，分轮数尺度为：48
2020-12-30 05:49:09:733  轴承端盖温度特征值计算完成, 位置标记：1
2020-12-30 05:49:09:738  电机温度计算完成, 位置标记：1
2020-12-30 05:49:09:740  电机温度计算完成, 位置标记：1
2020-12-30 05:49:09:742  电机温度计算完成, 位置标记：1
2020-12-30 05:49:09:745  电机温度计算完成, 位置标记：1
2020-12-30 05:49:09:747  电机温度计算完成, 位置标记：1
2020-12-30 05:49:09:749  电机温度计算完成, 位置标记：1
2020-12-30 05:49:09:751  电机温度计算完成, 位置标记：1
2020-12-30 05:49:09:753  电机温度计算完成, 位置标记：1
2020-12-30 05:49:09:754  车速为：94.0909位置标记为：1
2020-12-30 05:49:09:767  振动分轮计算完成, 位置标记：1
2020-12-30 05:49:09:960  振动特征值计算完成, 位置标记：1
2020-12-30 05:49:09:999  磁钢信号预处理完成，位置标记：0
2020-12-30 05:49:10:009  温度分轮成功，分轮数尺度为：48
2020-12-30 05:49:10:020  轴承端盖温度特征值计算完成, 位置标记：0
2020-12-30 05:49:10:028  电机温度计算完成, 位置标记：0
2020-12-30 05:49:10:031  电机温度计算完成, 位置标记：0
2020-12-30 05:49:10:034  电机温度计算完成, 位置标记：0
2020-12-30 05:49:10:037  电机温度计算完成, 位置标记：0
2020-12-30 05:49:10:040  电机温度计算完成, 位置标记：0
2020-12-30 05:49:10:042  电机温度计算完成, 位置标记：0
2020-12-30 05:49:10:045  电机温度计算完成, 位置标记：0
2020-12-30 05:49:10:048  电机温度计算完成, 位置标记：0
2020-12-30 05:49:10:049  车速为：94.0909位置标记为：0
2020-12-30 05:49:10:068  振动分轮计算完成, 位置标记：0
2020-12-30 05:49:10:336  振动特征值计算完成, 位置标记：0
