2020-12-30 05:21:44:250  收到来车信号，流水号：20201230052144，所有设备开始采集
2020-12-30 05:21:44:287  开启A/D采集
2020-12-30 05:22:19:934  收到离车信号，流水号：20201230052144，线号：14，车号：043044，主控端：1，所有设备停止采集
2020-12-30 05:22:19:936  收到停止采集命令，开始停止采集
2020-12-30 05:22:19:942  停止采集数据
2020-12-30 05:22:19:944  采集连接已断开
2020-12-30 05:22:19:946  开始数据分析和落盘
2020-12-30 05:22:26:369  vibration1完成落盘
2020-12-30 05:22:31:467  vibration2完成落盘
2020-12-30 05:22:37:009  vibration3完成落盘
2020-12-30 05:22:42:506  vibration4完成落盘
2020-12-30 05:22:47:933  vibration5完成落盘
2020-12-30 05:22:53:064  vibration6完成落盘
2020-12-30 05:22:58:817  vibration7完成落盘
2020-12-30 05:23:03:973  vibration8完成落盘
2020-12-30 05:23:09:380  magnetic1完成落盘
2020-12-30 05:23:14:730  magnetic2完成落盘
2020-12-30 05:23:20:279  magnetic3完成落盘
2020-12-30 05:23:26:181  magnetic4完成落盘
2020-12-30 05:23:31:517  temperate1完成落盘
2020-12-30 05:23:36:560  temperate2完成落盘
2020-12-30 05:23:41:463  temperate3完成落盘
2020-12-30 05:23:46:919  temperate4完成落盘
2020-12-30 05:23:46:927  开始处理数据
2020-12-30 05:23:47:873  右侧计算完成
2020-12-30 05:23:48:699  左侧计算完成
2020-12-30 05:23:48:701  检查结果数据
2020-12-30 05:23:48:702  通知桌面显示数据
2020-12-30 05:23:48:717  开始写入数据库
2020-12-30 05:23:48:739  预警及报警参数加载完成
2020-12-30 05:23:48:741  数据库打开成功
2020-12-30 05:23:48:753  train_info数据表写入成功
2020-12-30 05:23:48:817  train_onlyid读取成功
2020-12-30 05:23:48:821  train_data数据表写入成功
2020-12-30 05:23:48:825  vt_info数据表，第0次写入成功
2020-12-30 05:23:48:829  vt_info数据表，第1次写入成功
2020-12-30 05:23:48:833  vt_info数据表，第2次写入成功
2020-12-30 05:23:48:836  vt_info数据表，第3次写入成功
2020-12-30 05:23:48:840  vt_info数据表，第4次写入成功
2020-12-30 05:23:48:844  vt_info数据表，第5次写入成功
2020-12-30 05:23:48:848  vt_info数据表，第6次写入成功
2020-12-30 05:23:48:852  vt_info数据表，第7次写入成功
2020-12-30 05:23:48:855  vt_info数据表，第8次写入成功
2020-12-30 05:23:48:859  vt_info数据表，第9次写入成功
2020-12-30 05:23:48:863  vt_info数据表，第10次写入成功
2020-12-30 05:23:48:867  vt_info数据表，第11次写入成功
2020-12-30 05:23:48:895  vt_info数据表，第12次写入成功
2020-12-30 05:23:48:899  vt_info数据表，第13次写入成功
2020-12-30 05:23:48:903  vt_info数据表，第14次写入成功
2020-12-30 05:23:48:907  vt_info数据表，第15次写入成功
2020-12-30 05:23:48:911  vt_info数据表，第16次写入成功
2020-12-30 05:23:48:915  vt_info数据表，第17次写入成功
2020-12-30 05:23:48:918  vt_info数据表，第18次写入成功
2020-12-30 05:23:48:922  vt_info数据表，第19次写入成功
